gene,t_stat,p_value,fdr,mean_ALL,mean_AML,log2FC,cohen_d,abs_cohen_d
Dihydrofolate Reductase; Alt. Splice 6,-8.421932112137346,5.570553274919289e-09,1.6620494307602998e-06,378.1276595744681,3285.92,-0.8811408265817257,-2.7553498353347656,2.7553498353347656
HLON ATP-dependent protease mRNA; nuclear gene encoding  mitochondrial protein,-7.887635279610283,3.1622473238863906e-09,1.07350767485648e-06,1717.1063829787233,6495.16,-0.9977328253167548,-2.269194265863677,2.269194265863677
SYNAPTOBREVIN 1,-6.624346700724375,6.51916231551603e-07,6.834574727546144e-05,174.70212765957447,872.8,-0.28066293632412065,-2.2677489916087135,2.2677489916087135
Nrf2,-6.212086389463658,2.0108314672706556e-06,0.00014193284683339114,-137.72340425531914,5125.28,-1.480878882419723,-2.1629000797312976,2.1629000797312976
GB DEF = Histatin 3 (HIS2) gene exons 3-5,-6.685587810310299,2.960170591478911e-07,3.8950200908298066e-05,541.9148936170212,2691.08,-0.6726825643889356,-2.1257019638524204,2.1257019638524204
CA6 Carbonic anhydrase VI,-6.050179406173637,2.9626199186917407e-06,0.00018690723363144618,185.46808510638297,9120.4,-1.9028619553749087,-2.1035472473595576,2.1035472473595576
Branched-chain amino acid aminotransferase (ECA40) mRNA,-7.291639962227585,1.824551911195153e-08,4.335743524970082e-06,143.7659574468085,1332.8,-0.4534302086336761,-2.1027311183318083,2.1027311183318083
ITGA2 Integrin; alpha 2 (CD49B; alpha 2 subunit of VLA-2 receptor),-6.3467291171214555,9.634320502593343e-07,8.919879332855577e-05,371.36170212765956,1536.36,-0.42001244511416075,-2.0902680070872197,2.0902680070872197
RALB V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein),-6.270883636680964,1.0398262436512032e-06,9.383444672138515e-05,456.8085106382979,1802.32,-0.4655688440441916,-2.033834186299056,2.033834186299056
PBX1 PBX1a and PBX1b,-6.018776118548608,2.626648067904817e-06,0.00017665447241597585,1671.7446808510638,5608.64,-0.8712236935148004,-2.0289555098838394,2.0289555098838394
SRD5A2 Steroid 5-alpha-reductase 2 (SRD5A2),-6.773571368792958,9.768530164992469e-08,1.740996288655783e-05,740.936170212766,1595.0,-0.29131638425627593,-1.9806573954807678,1.9806573954807678
ELK4 SRF accessory protein 1B (SAP-1),-6.683182188433855,1.1738316346656292e-07,1.992439457983636e-05,1326.340425531915,2873.76,-0.4345607637978817,-1.9403259985339742,1.9403259985339742
GABA-A receptor epsilon subunit mRNA,-5.862153521151507,2.9624450190049146e-06,0.00018690723363144618,910.8510638297872,2114.32,-0.3805737763272738,-1.8935143173731546,1.8935143173731546
