Gene,Accession,t_stat,p_value,q_value,mean_diff,cohen_d,abs_t
C-myb gene extracted from Human (c-myb) gene; complete primary cds; and five complete alternatively spliced cds,U22376_cds2_s_at,7.904300374235952,8.388714620330711e-09,5.9803146528337644e-05,3160.9326599326596,1.8484242327912777,7.904300374235952
PROTEASOME IOTA CHAIN,X59417_at,6.803106345964358,9.821652376358902e-08,0.0003500927989553131,3223.1885521885524,1.6356076618306048,6.803106345964358
MYL1 Myosin light chain (alkali),M31211_s_at,6.293714668626645,2.917295400967995e-07,0.00046357737947431906,398.8451178451179,1.593643536839952,6.293714668626645
FAH Fumarylacetoacetate,M55150_at,-8.091951182855736,2.4725929903576253e-07,0.00046357737947431906,-1025.976430976431,-2.9769825991030405,8.091951182855736
CRYZ Crystallin zeta (quinone reductase),L13278_at,6.281409522093105,3.2513492739116223e-07,0.00046357737947431906,127.38047138047138,1.5652184075827307,6.281409522093105
Transcriptional activator hSNF2b,D26156_s_at,6.097112518651232,5.184004402863194e-07,0.0006159461231335285,727.1818181818181,1.592649879447864,6.097112518651232
Thymopoietin beta mRNA,U09087_s_at,6.120220815616868,7.413019658755564e-07,0.0006605927143408552,133.97979797979798,1.4656744654663143,6.120220815616868
CCND3 Cyclin D3,M92287_at,6.217365336330036,6.826528433075054e-07,0.0006605927143408552,2955.845117845118,1.4668041352308259,6.217365336330036
MB-1 gene,U05259_rna1_at,6.181655718212993,1.31493633339702e-06,0.001026075215848301,3274.744107744108,1.4112065258316422,6.181655718212993
CD19 CD19 antigen,M28170_at,5.794220727601132,1.5832272933554933e-06,0.001026075215848301,231.3838383838384,1.4183892513273528,5.794220727601132
RETINOBLASTOMA BINDING PROTEIN P48,X74262_at,6.01651316246305,1.488034091899201e-06,0.001026075215848301,1161.2356902356903,1.3989170645493745,6.01651316246305
HKR-T1,S50223_at,5.6767165695648405,1.9485975552668874e-06,0.0010685809208844338,303.74410774410774,1.508866761537051,5.6767165695648405
Clone 22 mRNA; alternative splice variant alpha-1,AF009426_at,5.693017353380261,1.8165964484445622e-06,0.0010685809208844338,116.85185185185185,1.4484424845784825,5.693017353380261
Inducible protein mRNA,L47738_at,5.733622804072489,2.2905842289783236e-06,0.0011663982120276048,1059.013468013468,1.3726580041899057,5.733622804072489
MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,D38073_at,5.562983485326849,2.681795836017093e-06,0.0012745681676643904,588.6801346801346,1.4253026650275988,5.562983485326849
GTF2E2 General transcription factor TFIIE beta subunit; 34 kD,X63469_at,5.54908004345455,2.9584270548589435e-06,0.001318164154630588,227.037037037037,1.4888261735343753,5.54908004345455
CTPS CTP synthetase,X52142_at,5.63629289452391,4.001622643235783e-06,0.001336687984336098,214.02356902356905,1.6591890940785072,5.63629289452391
TOP2B Topoisomerase (DNA) II beta (180kD),Z15115_at,5.615471092513045,3.9096709641111715e-06,0.001336687984336098,2847.727272727273,1.3205842293816517,5.615471092513045
TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),M31523_at,5.6775434026659735,3.843105870726488e-06,0.001336687984336098,1021.4309764309764,1.3188842455250884,5.6775434026659735
CDC25A Cell division cycle 25A,M81933_at,-5.933911141327341,3.6784223098127202e-06,0.001336687984336098,-184.64983164983164,-1.8865020760769777,5.933911141327341
SPTAN1 Spectrin; alpha; non-erythrocytic 1 (alpha-fodrin),J05243_at,5.453124520177044,4.1250014946548115e-06,0.001336687984336098,733.6296296296297,1.3512293737692842,5.453124520177044
Thrombospondin-p50 gene extracted from Human thrombospondin-1 gene; partial cds,U12471_cds1_at,-6.146298795268697,4.038102452847808e-06,0.001336687984336098,-134.95959595959596,-2.072582727605636,6.146298795268697
Oncoprotein 18 (Op18) gene,M31303_rna1_at,5.3705706447651975,5.577861127020608e-06,0.0016568571656054131,2000.949494949495,1.475934659916895,5.3705706447651975
RABAPTIN-5 protein,Y08612_at,5.366652729944965,5.516502507654448e-06,0.0016568571656054131,216.006734006734,1.3218594050043289,5.366652729944965
GB DEF = Retinoblastoma susceptibility protein (RB1) gene; with a 3 bp deletion in exon 22 (L11910 bases 161855-162161),L49229_f_at,5.368177479878942,5.850468640087997e-06,0.0016683196374074932,200.56565656565658,1.3077824402044775,5.368177479878942
Macmarcks,HG1612-HT1612_at,5.276868788257156,6.445652422702096e-06,0.0017673483123632017,2440.30303030303,1.356150720026368,5.276868788257156
SRP9 Signal recognition particle 9 kD protein,U20998_at,5.3612393503138795,7.48804115820763e-06,0.001977120200624526,1096.5050505050506,1.2698249694184596,5.3612393503138795
Cytoplasmic dynein light chain 1 (hdlc1) mRNA,U32944_at,5.442991881930171,8.632522403516917e-06,0.001998167589342557,1379.8148148148148,1.2491321247817355,5.442991881930171
Heterochromatin protein p25 mRNA,U35451_at,5.136372147327385,1.1212682725217679e-05,0.001998167589342557,298.6397306397306,1.260940722356637,5.136372147327385
ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,M91432_at,5.300882196527684,1.1491291459231352e-05,0.001998167589342557,695.4343434343434,1.226154624759404,5.300882196527684
LPAP gene,X97267_rna1_s_at,5.13130442869238,1.0300654066138498e-05,0.001998167589342557,1922.1952861952864,1.36164826357081,5.13130442869238
KIAA0159 gene,D63880_at,5.10840300673223,1.0965660226191202e-05,0.001998167589342557,358.67676767676767,1.2957865889919487,5.10840300673223
Integrin cytoplasmic domain associated protein (Icap-1a) mRNA,AF012024_s_at,5.1113680219299535,1.1491776008282344e-05,0.001998167589342557,88.82491582491583,1.2697445312008473,5.1113680219299535
HMG1 High-mobility group (nonhistone chromosomal) protein 1,D63874_at,5.187195977447693,8.470468442716363e-06,0.001998167589342557,4152.087542087543,1.3403154123257743,5.187195977447693
GLRX Glutaredoxin (thioltransferase),X76648_at,5.195203157211818,1.1098073271068222e-05,0.001998167589342557,658.8249158249157,1.2429023581425664,5.195203157211818
PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT,U72342_at,5.1359774420779924,9.932055109749676e-06,0.001998167589342557,438.86195286195283,1.3193522665834299,5.1359774420779924
CYP2C18 Cytochrome P450; subfamily IIC (mephenytoin 4-hydroxylase); polypeptide 18,M61853_at,5.200891630346368,8.183417543247664e-06,0.001998167589342557,86.14814814814815,1.3643720136232738,5.200891630346368
ADA Adenosine deaminase,M13792_at,5.197842582893488,1.114533397799257e-05,0.001998167589342557,5041.451178451179,1.241662453642791,5.197842582893488
DHPS Deoxyhypusine synthase,U26266_s_at,5.196180924485055,1.0594637541372741e-05,0.001998167589342557,401.48148148148147,1.464227372193192,5.196180924485055
GB DEF = Homeodomain protein HoxA9 mRNA,U82759_at,-6.268015576664483,1.0829372484221792e-05,0.001998167589342557,-609.3569023569023,-2.41186204773632,6.268015576664483
Transcriptional activator hSNF2b,U29175_at,5.3227155084729585,1.0073236896467585e-05,0.001998167589342557,820.1212121212122,1.2386459658736895,5.3227155084729585
Butyrophilin (BTF5) mRNA,U90552_at,5.070921730846447,1.2803908578056444e-05,0.0021733110536420095,257.7239057239058,1.2649691628590247,5.070921730846447
IRF2 Interferon regulatory factor 2,X15949_at,5.284784803102434,1.3487893701302754e-05,0.0022361673068973797,251.75757575757578,1.2111551509470475,5.284784803102434
CARCINOEMBRYONIC ANTIGEN PRECURSOR,M29540_at,5.0468447460545915,1.5161618731330552e-05,0.0024019373319034555,116.3973063973064,1.3971026452345043,5.0468447460545915
ADH4 gene for class II alcohol dehydrogenase (pi subunit); exon 1,X56411_rna1_at,5.143305318572165,1.497114865849332e-05,0.0024019373319034555,110.64309764309766,1.49863810820702,5.143305318572165
Tax1-binding protein TXBP181 mRNA,U33822_at,5.044736642645267,1.703491722630618e-05,0.0024738720949484074,459.04040404040404,1.4301295108174144,5.044736642645267
NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,U53468_at,5.014662565658662,1.5977148751098295e-05,0.0024738720949484074,77.87205387205387,1.3724811567532063,5.014662565658662
Adenosine triphosphatase; calcium,Z69881_at,5.162865121352554,1.6939472557025908e-05,0.0024738720949484074,1917.915824915825,1.1934492385912898,5.162865121352554
CD19 gene,M84371_rna1_s_at,5.0908506447077455,1.6536207413833154e-05,0.0024738720949484074,1055.4276094276092,1.2037463384139013,5.0908506447077455
ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),J03473_at,5.044577539515906,1.7350765149027967e-05,0.0024738720949484074,1029.5488215488217,1.2056260115461814,5.044577539515906
Protein kinase ATR mRNA,U49844_at,4.951577938090726,1.847261687834825e-05,0.002582182073053817,158.77777777777777,1.2330680004477925,4.951577938090726
RPA1 Replication protein A1 (70kD),M63488_at,4.9551114588388625,1.949185792648227e-05,0.0026722587530363866,145.003367003367,1.2137848363431394,4.9551114588388625
Neuromedin B mRNA,M21551_rna1_at,-5.35693608743051,2.1320934273735313e-05,0.002763580735226528,-234.92592592592592,-1.7698324510854908,5.35693608743051
KIAA0212 gene,D86967_at,4.9828885077049,2.1295972039152876e-05,0.002763580735226528,1414.0336700336698,1.1867547284176576,4.9828885077049
EWSR1 Ewing sarcoma breakpoint region 1,X66899_at,4.89054913563546,2.1069513737574614e-05,0.002763580735226528,620.1717171717172,1.252172310336668,4.89054913563546
P130 mRNA for 130K protein,X76061_at,4.866994656411494,2.271365872695347e-05,0.002840801281832479,152.05050505050505,1.2783286950451447,4.866994656411494
LIPC Lipase; hepatic,M29194_at,4.867342337194039,2.2533318705213115e-05,0.002840801281832479,103.02693602693601,1.2649584604952575,4.867342337194039
T-COMPLEX PROTEIN 1; EPSILON SUBUNIT,D43950_at,4.823773369405167,2.5931066350216702e-05,0.003133263932384659,507.5723905723906,1.2683713814760098,4.823773369405167
Serine kinase SRPK2 mRNA,U88666_at,4.8677784184869495,2.579639713606937e-05,0.003133263932384659,104.0,1.34718240784349,4.8677784184869495
DCK Deoxycytidine kinase,M60527_at,4.860547544808204,2.674122726036314e-05,0.003177303485652147,212.7474747474747,1.1820889234420247,4.860547544808204
IL7R Interleukin 7 receptor,M29696_at,4.979467694811274,2.9132467476302492e-05,0.00335823607000498,1745.9393939393938,1.1470613903660898,4.979467694811274
UBIQUITIN-LIKE PROTEIN GDX,J03589_at,4.8097468861381,2.9206149016735693e-05,0.00335823607000498,256.4814814814815,1.3120755826720194,4.8097468861381
Motor protein,L42572_at,4.781912214292718,3.220861331210698e-05,0.0036446857825715977,235.2962962962963,1.175319945749942,4.781912214292718
KIAA0097 gene,D43948_at,4.743084760898474,3.330735830498367e-05,0.0037101274586910714,217.6127946127946,1.203121228025736,4.743084760898474
LMP2 gene extracted from H.sapiens genes TAP1; TAP2; LMP2; LMP7 and DOB,X66401_cds1_at,4.840301446334162,3.493225720472153e-05,0.0038312624863455352,819.090909090909,1.1400864185917625,4.840301446334162
Putative enterocyte differentiation promoting factor mRNA; partial cds,U62136_at,4.861464120229155,3.56236504327626e-05,0.003847893999017645,260.10101010101005,1.1343395123049353,4.861464120229155
Leukotriene C4 synthase (LTC4S) gene,U50136_rna1_at,-6.435952103063022,4.0912735131478136e-05,0.004211142123423631,-1584.4040404040402,-3.1726860095853677,6.435952103063022
Non-lens beta gamma-crystallin like protein (AIM1) mRNA; partial cds,D86479_at,4.756723643306416,4.025613072284258e-05,0.004211142123423631,701.7575757575759,1.1358679577415447,4.756723643306416
KIAA0102 gene,D14658_at,4.7118862880667205,4.371223413288662e-05,0.004211142123423631,594.3400673400673,1.134271644167919,4.7118862880667205
Protein tyrosine kinase related mRNA sequence,L05148_at,4.7122947544514755,4.1659540685685916e-05,0.004211142123423631,772.2727272727273,1.1447594992576147,4.7122947544514755
NUCLEOLYSIN TIA-1,M77142_at,4.849456102651469,4.3386806751758125e-05,0.004211142123423631,160.72727272727272,1.1124865642160575,4.849456102651469
Stimulator of TAR RNA binding (SRB) mRNA,U38846_at,4.779312811703394,4.0372676033470014e-05,0.004211142123423631,1215.0976430976432,1.1300240108865016,4.779312811703394
DAGK1 Diacylglycerol kinase; alpha (80kD),X62535_at,4.747485780089953,4.302500357485708e-05,0.004211142123423631,1015.979797979798,1.126858905459733,4.747485780089953
VIL2 Villin 2 (ezrin),X51521_at,4.6557593310467515,4.312372443841106e-05,0.004211142123423631,2274.5555555555557,1.186621813542408,4.6557593310467515
GBE1 Glucan (1;4-alpha-); branching enzyme 1 (glycogen branching enzyme; Andersen disease; glycogen storage disease type IV),L07956_at,4.655227199392022,4.492197287215121e-05,0.004269983261407547,292.2760942760942,1.1605333843780858,4.655227199392022
PROBABLE G PROTEIN-COUPLED RECEPTOR LCR1 HOMOLOG,L06797_s_at,4.635640699885686,4.654083699331744e-05,0.00436565298586,4403.121212121212,1.2337618988118506,4.635640699885686
KIAA0235 gene; partial cds,D87078_at,4.65829027949408,4.774307571048997e-05,0.00442026476285822,626.8114478114478,1.137482376088769,4.65829027949408
TP53 Tumor protein p53 (Li-Fraumeni syndrome),M22898_at,4.61030280211977,5.068359878758767e-05,0.004632350971239904,423.2053872053872,1.1562844212799748,4.61030280211977
HISTONE H2A.X,X14850_at,4.584992487530069,5.3167642738938164e-05,0.004766823634293217,753.3535353535352,1.1745896372160047,4.584992487530069
Cytokeratin 17,Z19574_rna1_at,4.6643013136859395,5.349219957125226e-05,0.004766823634293217,177.38720538720537,1.333750388928619,4.6643013136859395
AARS Alanyl-tRNA synthetase,D32050_at,4.66690474634066,5.576501086408339e-05,0.004908009412963587,574.0101010101012,1.349150524971179,4.66690474634066
IEF SSP 9502 mRNA,L07758_at,4.576302277654213,5.681367130751065e-05,0.004939325155502969,268.17845117845116,1.2323078814850896,4.576302277654213
MSH2 DNA repair protein MSH2,U03911_at,4.625215143219791,5.801079036952627e-05,0.0049826376451126845,151.7979797979798,1.3126394314847327,4.625215143219791
GJB1 Gap junction protein; beta 1; 32kD (connexin 32; Charcot-Marie-Tooth neuropathy; X-linked),X04325_at,4.565927086895306,5.912482985023051e-05,0.005017868000027301,189.8148148148148,1.2345868885824587,4.565927086895306
Terminal transferase mRNA,M11722_at,4.699088828226593,6.24544014588461e-05,0.005238087388236634,2709.026936026936,1.0830327733383454,4.699088828226593
ALDR1 Aldehyde reductase 1 (low Km aldose reductase),X15414_at,4.947867718333351,6.399491595758404e-05,0.005304880882111821,754.1616161616162,1.661686162037845,4.947867718333351
EEF1D Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein),Z21507_at,4.499016233845865,7.140804040856829e-05,0.005851355403134291,1572.7272727272727,1.1231532868935818,4.499016233845865
ASPARTYL-TRNA SYNTHETASE,J05032_at,4.486532465342254,7.350829941734191e-05,0.005888097376923938,223.07744107744105,1.1244185022104336,4.486532465342254
Down syndrome critical region protein (DSCR1) mRNA,U28833_at,4.488212098934827,7.298300844319534e-05,0.005888097376923938,97.37373737373736,1.2004326024073557,4.488212098934827
TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),M65214_s_at,4.586008450257149,7.52201659530851e-05,0.00595827292310604,414.83838383838383,1.3459443672390334,4.586008450257149
TCF12 Transcription factor 12 (HTF4; helix-loop-helix transcription factors 4),M83233_at,4.454227842841943,8.069925532019112e-05,0.006322032870083983,310.54208754208753,1.118098346691196,4.454227842841943
SPRR1B Small proline-rich protein 1B (cornifin),M19888_at,4.43628208657378,8.299007185690724e-05,0.006430828502911866,77.65656565656566,1.156154397868217,4.43628208657378
Liver mRNA for interferon-gamma inducing factor(IGIF),D49950_at,-5.617637963225167,8.603802737903848e-05,0.006595323625646939,-168.53872053872055,-2.4926169627211996,5.617637963225167
GPX1 Glutathione peroxidase 1,Y00433_at,-4.575779831679212,8.924286102832561e-05,0.00675923417476093,-5531.602693602694,-1.3826030447603352,4.575779831679212
26-kDa cell surface protein TAPA-1 mRNA,M33680_at,4.42022502281026,9.007255528156662e-05,0.00675923417476093,3570.565656565657,1.1876470102581744,4.42022502281026
PROTEASOME ZETA CHAIN,X61970_at,4.496014871442094,9.349145055609305e-05,0.006812870228627163,454.8114478114477,1.0576741937177074,4.496014871442094
SP3 Sp3 transcription factor,X68560_at,4.470365238235644,9.365426881827212e-05,0.006812870228627163,342.89898989898995,1.0639245705608722,4.470365238235644
Transcription factor (CBFB) mRNA; 3' end,L20298_at,4.400639661290869,9.238785168369134e-05,0.006812870228627163,869.8181818181819,1.129294180713506,4.400639661290869
IGB Immunoglobulin-associated beta (B29),M89957_at,4.506124300133314,9.604342441903716e-05,0.006846935726833159,1537.063973063973,1.0516473209171218,4.506124300133314
Uridine diphosphoglucose pyrophosphorylase mRNA,U27460_at,4.548369672401343,9.513090342257224e-05,0.006846935726833159,447.040404040404,1.0472207033741752,4.548369672401343
KIAA0076 gene,D38548_at,4.388447935508919,9.827704369576017e-05,0.006936802420862121,379.030303030303,1.1740552312286305,4.388447935508919
